id,eps,dfs_type,dfs_time,dfs_visit,dfs_status,sa0_type,sa0_time,sa0_visit,sa0_status,sa0_status_lb,sa1_type,sa1_time,sa1_visit,sa1_status,sa1_status_lb,sa2_type,sa2_time,sa2_visit,sa2_status,sa2_status_lb,sa3_type,sa3_time,sa3_visit,sa3_status,sa3_status_lb,sa4_type,sa4_time,sa4_visit,sa4_status,sa4_status_lb,sa5_type,sa5_time,sa5_visit,sa5_status,sa5_status_lb
1,0.0274509803921568,DFS:,16.854690313339233,41,Status.VERIFIED,SA0:,20.177186965942383,41,Status.VERIFIED,-0.4406359493732452,SA1:,20.65020036697388,41,Status.VERIFIED,-0.4406359493732452,SA2:,19.95622658729553,41,Status.VERIFIED,-0.4406359493732452,SA3:,20.37261438369751,41,Status.VERIFIED,-0.4406359493732452,SA4:,20.198058366775516,41,Status.VERIFIED,-0.4406359493732452,SA5:,20.016267776489254,41,Status.VERIFIED,-0.4406359493732452
1,0.0274509803921568,DFS:,19.275476932525635,41,Status.VERIFIED,SA0:,20.177186965942383,41,Status.VERIFIED,-0.4406359493732452,SA1:,20.65020036697388,41,Status.VERIFIED,-0.4406359493732452,SA2:,19.95622658729553,41,Status.VERIFIED,-0.4406359493732452,SA3:,20.37261438369751,41,Status.VERIFIED,-0.4406359493732452,SA4:,20.198058366775516,41,Status.VERIFIED,-0.4406359493732452,SA5:,20.016267776489254,41,Status.VERIFIED,-0.4406359493732452
2,0.0156862745098039,DFS:,1.1242830753326416,5,Status.VERIFIED,SA0:,1.2451128959655762,5,Status.VERIFIED,-0.0492402575910091,SA1:,1.2373981475830078,5,Status.VERIFIED,-0.0492402575910091,SA2:,1.3082756996154783,5,Status.VERIFIED,-0.0492402575910091,SA3:,1.2670302391052246,5,Status.VERIFIED,-0.0492402575910091,SA4:,1.297569990158081,5,Status.VERIFIED,-0.0492402575910091,SA5:,1.2519145011901855,5,Status.VERIFIED,-0.0492402575910091
2,0.0156862745098039,DFS:,1.4098105430603027,5,Status.VERIFIED,SA0:,1.2451128959655762,5,Status.VERIFIED,-0.0492402575910091,SA1:,1.2373981475830078,5,Status.VERIFIED,-0.0492402575910091,SA2:,1.3082756996154783,5,Status.VERIFIED,-0.0492402575910091,SA3:,1.2670302391052246,5,Status.VERIFIED,-0.0492402575910091,SA4:,1.297569990158081,5,Status.VERIFIED,-0.0492402575910091,SA5:,1.2519145011901855,5,Status.VERIFIED,-0.0492402575910091
3,0.0352941176470588,DFS:,5.563039064407349,21,Status.VERIFIED,SA0:,6.142239093780518,21,Status.VERIFIED,-0.0527167730033397,SA1:,6.115658283233643,21,Status.VERIFIED,-0.0527167730033397,SA2:,6.089207172393799,21,Status.VERIFIED,-0.0527167730033397,SA3:,6.304203271865845,21,Status.VERIFIED,-0.0527167730033397,SA4:,6.172843456268311,21,Status.VERIFIED,-0.0527167730033397,SA5:,6.128241062164307,21,Status.VERIFIED,-0.0527167730033397
3,0.0352941176470588,DFS:,6.632416248321533,21,Status.VERIFIED,SA0:,6.142239093780518,21,Status.VERIFIED,-0.0527167730033397,SA1:,6.115658283233643,21,Status.VERIFIED,-0.0527167730033397,SA2:,6.089207172393799,21,Status.VERIFIED,-0.0527167730033397,SA3:,6.304203271865845,21,Status.VERIFIED,-0.0527167730033397,SA4:,6.172843456268311,21,Status.VERIFIED,-0.0527167730033397,SA5:,6.128241062164307,21,Status.VERIFIED,-0.0527167730033397
4,0.0156862745098039,DFS:,1.13619065284729,5,Status.VERIFIED,SA0:,1.460883617401123,5,Status.VERIFIED,-0.1911937594413757,SA1:,1.2201869487762451,5,Status.VERIFIED,-0.1911937594413757,SA2:,1.3950209617614746,5,Status.VERIFIED,-0.1911937594413757,SA3:,1.2458338737487793,5,Status.VERIFIED,-0.1911937594413757,SA4:,1.302887201309204,5,Status.VERIFIED,-0.1911937594413757,SA5:,1.3322882652282717,5,Status.VERIFIED,-0.1911937594413757
4,0.0156862745098039,DFS:,1.3092210292816162,5,Status.VERIFIED,SA0:,1.460883617401123,5,Status.VERIFIED,-0.1911937594413757,SA1:,1.2201869487762451,5,Status.VERIFIED,-0.1911937594413757,SA2:,1.3950209617614746,5,Status.VERIFIED,-0.1911937594413757,SA3:,1.2458338737487793,5,Status.VERIFIED,-0.1911937594413757,SA4:,1.302887201309204,5,Status.VERIFIED,-0.1911937594413757,SA5:,1.3322882652282717,5,Status.VERIFIED,-0.1911937594413757
6,0.0196078431372549,DFS:,3.5079119205474854,17,Status.VERIFIED,SA0:,4.13810396194458,17,Status.VERIFIED,-0.1359836310148239,SA1:,3.840352773666382,17,Status.VERIFIED,-0.1359836310148239,SA2:,4.012143135070801,17,Status.VERIFIED,-0.1359836310148239,SA3:,3.8009514808654794,17,Status.VERIFIED,-0.1359836310148239,SA4:,3.9358301162719727,17,Status.VERIFIED,-0.1359836310148239,SA5:,3.9909415245056152,17,Status.VERIFIED,-0.1359836310148239
6,0.0196078431372549,DFS:,4.197354555130005,17,Status.VERIFIED,SA0:,4.13810396194458,17,Status.VERIFIED,-0.1359836310148239,SA1:,3.840352773666382,17,Status.VERIFIED,-0.1359836310148239,SA2:,4.012143135070801,17,Status.VERIFIED,-0.1359836310148239,SA3:,3.8009514808654794,17,Status.VERIFIED,-0.1359836310148239,SA4:,3.9358301162719727,17,Status.VERIFIED,-0.1359836310148239,SA5:,3.9909415245056152,17,Status.VERIFIED,-0.1359836310148239
