id,eps,dfs_type,dfs_time,dfs_visit,dfs_status,sa0_type,sa0_time,sa0_visit,sa0_status,sa0_status_lb,sa1_type,sa1_time,sa1_visit,sa1_status,sa1_status_lb,sa2_type,sa2_time,sa2_visit,sa2_status,sa2_status_lb,sa3_type,sa3_time,sa3_visit,sa3_status,sa3_status_lb,sa4_type,sa4_time,sa4_visit,sa4_status,sa4_status_lb,sa5_type,sa5_time,sa5_visit,sa5_status,sa5_status_lb
4,0.0196078431372549,DFS:,13.09429097175598,3,Status.VERIFIED,SA0:,13.503242015838625,3,Status.VERIFIED,0.0406508222222328,SA1:,13.323723554611206,3,Status.VERIFIED,0.0406508222222328,SA2:,13.246890783309937,3,Status.VERIFIED,0.0406508222222328,SA3:,13.263822317123411,3,Status.VERIFIED,0.0406508222222328,SA4:,13.448818922042848,3,Status.VERIFIED,0.0406508222222328,SA5:,13.526748895645142,3,Status.VERIFIED,0.0406508222222328
4,0.0235294117647058,DFS:,939.9828569889067,169,Status.VERIFIED,SA0:,938.0390751361848,169,Status.VERIFIED,-0.6208167672157288,SA1:,940.0301415920258,169,Status.VERIFIED,-0.6208167672157288,SA2:,941.2944509983064,169,Status.VERIFIED,-0.6208167672157288,SA3:,936.4767458438872,169,Status.VERIFIED,-0.6208167672157288,SA4:,939.3642342090608,169,Status.VERIFIED,-0.6208167672157288,SA5:,944.944795370102,169,Status.VERIFIED,-0.6208167672157288
5,0.0156862745098039,DFS:,42.44180560112,17,Status.VERIFIED,SA0:,43.63392233848572,17,Status.VERIFIED,-0.0733151957392692,SA1:,43.03490114212036,17,Status.VERIFIED,-0.0733151957392692,SA2:,42.97258949279785,17,Status.VERIFIED,-0.0733151957392692,SA3:,44.05182862281799,17,Status.VERIFIED,-0.0733151957392692,SA4:,42.427945375442505,17,Status.VERIFIED,-0.0733151957392692,SA5:,40.40320944786072,17,Status.VERIFIED,-0.0733151957392692
6,0.0235294117647058,DFS:,364.0668075084686,103,Status.VERIFIED,SA0:,369.5226192474365,103,Status.VERIFIED,-0.241641953587532,SA1:,368.2021527290344,103,Status.VERIFIED,-0.241641953587532,SA2:,349.94965982437134,103,Status.VERIFIED,-0.241641953587532,SA3:,367.57369661331177,103,Status.VERIFIED,-0.241641953587532,SA4:,371.7539732456207,103,Status.VERIFIED,-0.241641953587532,SA5:,361.8587191104889,103,Status.VERIFIED,-0.241641953587532
9,0.0156862745098039,DFS:,14.500115633010864,7,Status.VERIFIED,SA0:,14.745619058609009,7,Status.VERIFIED,-0.0766984894871711,SA1:,14.464895725250244,7,Status.VERIFIED,-0.0766984894871711,SA2:,15.022686958312988,7,Status.VERIFIED,-0.0766984894871711,SA3:,15.283435106277466,7,Status.VERIFIED,-0.0766984894871711,SA4:,15.398537397384644,7,Status.VERIFIED,-0.0766984894871711,SA5:,14.66492748260498,7,Status.VERIFIED,-0.0766984894871711
13,0.0431372549019607,DFS:,12.866130113601685,3,Status.VERIFIED,SA0:,13.071686029434204,3,Status.VERIFIED,0.1699763834476471,SA1:,12.7002055644989,3,Status.VERIFIED,0.1699763834476471,SA2:,13.025751113891602,3,Status.VERIFIED,0.1699763834476471,SA3:,12.712526082992554,3,Status.VERIFIED,0.1699763834476471,SA4:,12.925825595855711,3,Status.VERIFIED,0.1699763834476471,SA5:,13.037147521972656,3,Status.VERIFIED,0.1699763834476471
13,0.0470588235294117,DFS:,292.17070150375366,53,Status.VERIFIED,SA0:,293.33207154273987,53,Status.VERIFIED,-0.7774375677108765,SA1:,292.24838399887085,53,Status.VERIFIED,-0.7774375677108765,SA2:,294.10936284065247,53,Status.VERIFIED,-0.7774375677108765,SA3:,293.03504276275635,53,Status.VERIFIED,-0.7774375677108765,SA4:,292.2750189304352,53,Status.VERIFIED,-0.7774375677108765,SA5:,291.5839087963104,53,Status.VERIFIED,-0.7774375677108765
16,0.0313725490196078,DFS:,14.65047287940979,5,Status.VERIFIED,SA0:,14.51130437850952,5,Status.VERIFIED,-0.0004513812018558,SA1:,14.332389116287231,5,Status.VERIFIED,-0.0004513812018558,SA2:,14.367977380752563,5,Status.VERIFIED,-0.0004513812018558,SA3:,14.27979016304016,5,Status.VERIFIED,-0.0004513812018558,SA4:,14.38731598854065,5,Status.VERIFIED,-0.0004513812018558,SA5:,14.284299373626707,5,Status.VERIFIED,-0.0004513812018558
18,0.0313725490196078,DFS:,121.04561495780943,59,Status.VERIFIED,SA0:,121.32253384590148,59,Status.VERIFIED,-0.2121019065380096,SA1:,120.50349164009094,59,Status.VERIFIED,-0.2121019065380096,SA2:,120.45235323905943,59,Status.VERIFIED,-0.2121019065380096,SA3:,119.18113446235655,59,Status.VERIFIED,-0.2121019065380096,SA4:,120.210440158844,59,Status.VERIFIED,-0.2121019065380096,SA5:,122.24301743507384,59,Status.VERIFIED,-0.2121019065380096
18,0.0549019607843137,DFS:,209.2263994216919,13,Status.ADV_EXAMPLE,SA0:,787.0294079780579,45,Status.ADV_EXAMPLE,-5.097963333129883,SA1:,1039.718543052673,57,Status.UNKNOWN,-5.097963333129883,SA2:,1023.382382631302,57,Status.UNKNOWN,-5.097963333129883,SA3:,1005.4620332717896,57,Status.UNKNOWN,-5.097963333129883,SA4:,740.1984751224518,41,Status.ADV_EXAMPLE,-5.097963333129883,SA5:,1040.2018294334412,55,Status.UNKNOWN,-5.097963333129883
21,0.0196078431372549,DFS:,278.8427829742432,187,Status.VERIFIED,SA0:,278.6760380268097,187,Status.VERIFIED,-0.05335408821702,SA1:,1001.3521440029144,185,Status.UNKNOWN,-0.05335408821702,SA2:,280.002227306366,187,Status.VERIFIED,-0.05335408821702,SA3:,276.859311580658,187,Status.VERIFIED,-0.05335408821702,SA4:,276.5416007041931,187,Status.VERIFIED,-0.05335408821702,SA5:,277.0737493038177,187,Status.VERIFIED,-0.05335408821702
32,0.0117647058823529,DFS:,16.479220867156982,7,Status.VERIFIED,SA0:,16.811533451080322,7,Status.VERIFIED,-0.0130156641826033,SA1:,16.975993156433105,7,Status.VERIFIED,-0.0130156641826033,SA2:,17.143067598342896,7,Status.VERIFIED,-0.0130156641826033,SA3:,16.832343816757202,7,Status.VERIFIED,-0.0130156641826033,SA4:,16.767857789993286,7,Status.VERIFIED,-0.0130156641826033,SA5:,17.682458877563477,7,Status.VERIFIED,-0.0130156641826033
38,0.0156862745098039,DFS:,39.33151483535767,15,Status.VERIFIED,SA0:,38.54555249214173,15,Status.VERIFIED,-0.2687764167785644,SA1:,38.67369318008423,15,Status.VERIFIED,-0.2687764167785644,SA2:,38.66482663154602,15,Status.VERIFIED,-0.2687764167785644,SA3:,39.08252024650574,15,Status.VERIFIED,-0.2687764167785644,SA4:,37.86436176300049,15,Status.VERIFIED,-0.2687764167785644,SA5:,38.76822710037232,15,Status.VERIFIED,-0.2687764167785644
41,0.0235294117647058,DFS:,10.636229515075684,5,Status.VERIFIED,SA0:,10.610587358474731,5,Status.VERIFIED,-0.0031418185681104,SA1:,10.739259958267212,5,Status.VERIFIED,-0.0031418185681104,SA2:,10.968684911727903,5,Status.VERIFIED,-0.0031418185681104,SA3:,11.38758111000061,5,Status.VERIFIED,-0.0031418185681104,SA4:,10.64878225326538,5,Status.VERIFIED,-0.0031418185681104,SA5:,10.851831436157228,5,Status.VERIFIED,-0.0031418185681104
