34,0.039215686,base:,1011.301227,49,Status.UNKNOWN,dfs:,1051.772815,35,Status.UNKNOWN,greedy0:,1024.401204,33,Status.UNKNOWN,greedy1:,1005.842269,33,Status.UNKNOWN,greedy2:,1056.92313,35,Status.UNKNOWN,greedy3:,1005.474987,33,Status.UNKNOWN,greedy4:,1061.160733,35,Status.UNKNOWN,greedy5:,1029.0241,31,Status.UNKNOWN
34,0.043137255,base:,1025.189067,38,Status.UNKNOWN,dfs:,1013.55051,25,Status.UNKNOWN,greedy0:,1008.418802,25,Status.UNKNOWN,greedy1:,1009.988877,25,Status.UNKNOWN,greedy2:,1012.223939,25,Status.UNKNOWN,greedy3:,1011.916657,25,Status.UNKNOWN,greedy4:,1085.013145,27,Status.UNKNOWN,greedy5:,1039.276097,25,Status.UNKNOWN
34,0.047058824,base:,1026.705787,30,Status.UNKNOWN,dfs:,1055.7211,21,Status.UNKNOWN,greedy0:,1033.038488,19,Status.UNKNOWN,greedy1:,1025.399446,19,Status.UNKNOWN,greedy2:,1057.640628,19,Status.UNKNOWN,greedy3:,1068.042164,19,Status.UNKNOWN,greedy4:,1067.398258,19,Status.UNKNOWN,greedy5:,1082.53231,19,Status.UNKNOWN
38,0.019607843,base:,38.83414745,15,Status.VERIFIED,dfs:,33.10487103,9,Status.VERIFIED,greedy0:,35.26346254,9,Status.VERIFIED,greedy1:,34.9911685,9,Status.VERIFIED,greedy2:,34.73906136,9,Status.VERIFIED,greedy3:,34.79799366,9,Status.VERIFIED,greedy4:,35.47184825,9,Status.VERIFIED,greedy5:,35.2735734,9,Status.VERIFIED
50,0.050980392,base:,269.847172,9,Status.ADV_EXAMPLE,dfs:,294.65698,7,Status.ADV_EXAMPLE,greedy0:,304.7342455,7,Status.ADV_EXAMPLE,greedy1:,301.6261258,7,Status.ADV_EXAMPLE,greedy2:,299.3466239,7,Status.ADV_EXAMPLE,greedy3:,300.2298069,7,Status.ADV_EXAMPLE,greedy4:,303.5434244,7,Status.ADV_EXAMPLE,greedy5:,306.3879519,7,Status.ADV_EXAMPLE
50,0.054901961,base:,90.2217741,2,Status.ADV_EXAMPLE,dfs:,119.0346217,2,Status.ADV_EXAMPLE,greedy0:,122.6484516,2,Status.ADV_EXAMPLE,greedy1:,121.9211984,2,Status.ADV_EXAMPLE,greedy2:,121.7026098,2,Status.ADV_EXAMPLE,greedy3:,123.4752526,2,Status.ADV_EXAMPLE,greedy4:,123.6327989,2,Status.ADV_EXAMPLE,greedy5:,123.0658693,2,Status.ADV_EXAMPLE
53,0.007843137,base:,12.82071877,5,Status.VERIFIED,dfs:,16.91219378,5,Status.VERIFIED,greedy0:,16.2117672,5,Status.VERIFIED,greedy1:,16.81131005,5,Status.VERIFIED,greedy2:,16.90738249,5,Status.VERIFIED,greedy3:,17.07362866,5,Status.VERIFIED,greedy4:,16.91432667,5,Status.VERIFIED,greedy5:,16.94201875,5,Status.VERIFIED
54,0.023529412,base:,174.0689723,79,Status.VERIFIED,dfs:,29.5995791,9,Status.VERIFIED,greedy0:,30.34041309,9,Status.VERIFIED,greedy1:,30.61086941,9,Status.VERIFIED,greedy2:,30.46093321,9,Status.VERIFIED,greedy3:,30.62913108,9,Status.VERIFIED,greedy4:,30.49966669,9,Status.VERIFIED,greedy5:,30.67935729,9,Status.VERIFIED
92,0.019607843,base:,1005.284774,531,Status.UNKNOWN,dfs:,44.48820138,15,Status.VERIFIED,greedy0:,84.69486451,29,Status.VERIFIED,greedy1:,56.41595411,19,Status.VERIFIED,greedy2:,45.2442255,15,Status.VERIFIED,greedy3:,45.25271869,15,Status.VERIFIED,greedy4:,45.06166697,15,Status.VERIFIED,greedy5:,45.25014806,15,Status.VERIFIED
96,0.050980392,base:,1018.818125,48,Status.UNKNOWN,dfs:,1026.313126,33,Status.UNKNOWN,greedy0:,1016.424619,11,Status.UNKNOWN,greedy1:,1026.504822,11,Status.UNKNOWN,greedy2:,1019.140999,11,Status.UNKNOWN,greedy3:,1043.687783,11,Status.UNKNOWN,greedy4:,1039.164658,11,Status.UNKNOWN,greedy5:,1097.888789,11,Status.UNKNOWN
96,0.054901961,base:,1030.393486,16,Status.UNKNOWN,dfs:,1152.060391,13,Status.ADV_EXAMPLE,greedy0:,1009.560133,9,Status.UNKNOWN,greedy1:,918.3714807,8,Status.ADV_EXAMPLE,greedy2:,893.2157097,8,Status.ADV_EXAMPLE,greedy3:,893.8729599,8,Status.ADV_EXAMPLE,greedy4:,908.9411008,8,Status.ADV_EXAMPLE,greedy5:,1055.926421,9,Status.UNKNOWN
96,0.058823529,base:,1056.447125,14,Status.UNKNOWN,dfs:,868.3287954,8,Status.ADV_EXAMPLE,greedy0:,782.5603178,6,Status.ADV_EXAMPLE,greedy1:,730.3620839,6,Status.ADV_EXAMPLE,greedy2:,722.3467357,6,Status.ADV_EXAMPLE,greedy3:,721.9177177,6,Status.ADV_EXAMPLE,greedy4:,734.7102323,6,Status.ADV_EXAMPLE,greedy5:,722.8093996,6,Status.ADV_EXAMPLE
