id,eps,dfs_type,dfs_time,dfs_visit,dfs_status,sa0_type,sa0_time,sa0_visit,sa0_status,sa0_status_lb,sa1_type,sa1_time,sa1_visit,sa1_status,sa1_status_lb,sa2_type,sa2_time,sa2_visit,sa2_status,sa2_status_lb,sa3_type,sa3_time,sa3_visit,sa3_status,sa3_status_lb,sa4_type,sa4_time,sa4_visit,sa4_status,sa4_status_lb,sa5_type,sa5_time,sa5_visit,sa5_status,sa5_status_lb
14,0.0274509803921568,DFS:,343.3627862930298,455,Status.VERIFIED,SA0:,1000.6688885688782,441,Status.UNKNOWN,-0.7132694721221924,SA1:,1000.653267621994,449,Status.UNKNOWN,-0.7132694721221924,SA2:,1000.6652579307556,453,Status.UNKNOWN,-0.7132694721221924,SA3:,339.28346276283264,455,Status.VERIFIED,-0.7132694721221924,SA4:,1000.6509115695952,445,Status.UNKNOWN,-0.7132694721221924,SA5:,1000.6798567771912,453,Status.UNKNOWN,-0.7132694721221924
14,0.0431372549019607,DFS:,44.25361132621765,10,Status.ADV_EXAMPLE,SA0:,140.95924878120422,32,Status.ADV_EXAMPLE,-5.713275909423828,SA1:,69.93775582313538,16,Status.ADV_EXAMPLE,-5.713275909423828,SA2:,176.31942677497864,40,Status.ADV_EXAMPLE,-5.713275909423828,SA3:,121.717214345932,28,Status.ADV_EXAMPLE,-5.713275909423828,SA4:,132.01562190055847,30,Status.ADV_EXAMPLE,-5.713275909423828,SA5:,113.92530012130736,26,Status.ADV_EXAMPLE,-5.713275909423828
16,0.0313725490196078,DFS:,318.5671217441559,313,Status.VERIFIED,SA0:,1000.662698507309,285,Status.UNKNOWN,-0.0763662457466125,SA1:,1000.831884622574,293,Status.UNKNOWN,-0.0763662457466125,SA2:,1000.6517233848572,295,Status.UNKNOWN,-0.0763662457466125,SA3:,1000.6736218929292,291,Status.UNKNOWN,-0.0763662457466125,SA4:,1000.6481430530548,295,Status.UNKNOWN,-0.0763662457466125,SA5:,1000.783660888672,301,Status.UNKNOWN,-0.0763662457466125
21,0.0274509803921568,DFS:,5.236682415008545,7,Status.VERIFIED,SA0:,5.372112035751343,7,Status.VERIFIED,-0.0444351844489574,SA1:,5.317581653594971,7,Status.VERIFIED,-0.0444351844489574,SA2:,5.11412525177002,7,Status.VERIFIED,-0.0444351844489574,SA3:,5.457314491271973,7,Status.VERIFIED,-0.0444351844489574,SA4:,5.033081531524658,7,Status.VERIFIED,-0.0444351844489574,SA5:,5.200213432312012,7,Status.VERIFIED,-0.0444351844489574
29,0.0156862745098039,DFS:,3.8698112964630127,5,Status.VERIFIED,SA0:,4.158157825469971,5,Status.VERIFIED,-0.0475778020918369,SA1:,4.563320159912109,5,Status.VERIFIED,-0.0475778020918369,SA2:,4.2933666706085205,5,Status.VERIFIED,-0.0475778020918369,SA3:,4.133902788162232,5,Status.VERIFIED,-0.0475778020918369,SA4:,3.9921045303344727,5,Status.VERIFIED,-0.0475778020918369,SA5:,4.231733322143555,5,Status.VERIFIED,-0.0475778020918369
34,0.0352941176470588,DFS:,848.0307953357697,292,Status.ADV_EXAMPLE,SA0:,1001.2315917015076,341,Status.UNKNOWN,-3.3162624835968018,SA1:,1002.3257775306702,345,Status.UNKNOWN,-3.3162624835968018,SA2:,1000.6851050853728,339,Status.UNKNOWN,-3.3162624835968018,SA3:,1003.5972363948822,335,Status.UNKNOWN,-3.3162624835968018,SA4:,1006.011724472046,333,Status.UNKNOWN,-3.3162624835968018,SA5:,1004.7832927703856,335,Status.UNKNOWN,-3.3162624835968018
38,0.0196078431372549,DFS:,2.72446346282959,3,Status.VERIFIED,SA0:,2.8029680252075195,3,Status.VERIFIED,0.2073061466217041,SA1:,2.6751952171325684,3,Status.VERIFIED,0.2073061466217041,SA2:,2.877406597137451,3,Status.VERIFIED,0.2073061466217041,SA3:,2.93694281578064,3,Status.VERIFIED,0.2073061466217041,SA4:,2.7175042629241943,3,Status.VERIFIED,0.2073061466217041,SA5:,2.849947690963745,3,Status.VERIFIED,0.2073061466217041
38,0.0235294117647058,DFS:,16.828763008117676,23,Status.VERIFIED,SA0:,17.61602020263672,23,Status.VERIFIED,-0.4379141926765442,SA1:,17.5230610370636,23,Status.VERIFIED,-0.4379141926765442,SA2:,17.3543758392334,23,Status.VERIFIED,-0.4379141926765442,SA3:,17.526458740234375,23,Status.VERIFIED,-0.4379141926765442,SA4:,17.587499856948853,23,Status.VERIFIED,-0.4379141926765442,SA5:,17.840311288833618,23,Status.VERIFIED,-0.4379141926765442
39,0.0117647058823529,DFS:,369.36030650138855,597,Status.VERIFIED,SA0:,1000.6514966487885,457,Status.UNKNOWN,-0.3500669598579407,SA1:,1000.702612876892,451,Status.UNKNOWN,-0.3500669598579407,SA2:,1000.7259147167206,463,Status.UNKNOWN,-0.3500669598579407,SA3:,1000.716054201126,467,Status.UNKNOWN,-0.3500669598579407,SA4:,1000.6979610919952,483,Status.UNKNOWN,-0.3500669598579407,SA5:,1000.6921856403352,461,Status.UNKNOWN,-0.3500669598579407
41,0.0274509803921568,DFS:,9.041915655136108,9,Status.VERIFIED,SA0:,9.578738689422607,9,Status.VERIFIED,-0.1001493036746978,SA1:,9.735778331756592,9,Status.VERIFIED,-0.1001493036746978,SA2:,9.88068699836731,9,Status.VERIFIED,-0.1001493036746978,SA3:,10.092231035232544,9,Status.VERIFIED,-0.1001493036746978,SA4:,10.010130167007446,9,Status.VERIFIED,-0.1001493036746978,SA5:,9.505875825881958,9,Status.VERIFIED,-0.1001493036746978
