id,eps,dfs_type,dfs_time,dfs_visit,dfs_status,sa0_type,sa0_time,sa0_visit,sa0_status,sa0_status_lb,sa1_type,sa1_time,sa1_visit,sa1_status,sa1_status_lb,sa2_type,sa2_time,sa2_visit,sa2_status,sa2_status_lb,sa3_type,sa3_time,sa3_visit,sa3_status,sa3_status_lb,sa4_type,sa4_time,sa4_visit,sa4_status,sa4_status_lb,sa5_type,sa5_time,sa5_visit,sa5_status,sa5_status_lb
1,0.0156862745098039,DFS:,13.882933616638184,5,Status.VERIFIED,SA0:,7.559255123138428,5,Status.VERIFIED,-0.0133839221671223,SA1:,7.533185720443726,5,Status.VERIFIED,-0.0133839221671223,SA2:,7.247770309448242,5,Status.VERIFIED,-0.0133839221671223,SA3:,7.282817363739014,5,Status.VERIFIED,-0.0133839221671223,SA4:,7.217476606369018,5,Status.VERIFIED,-0.0133839221671223,SA5:,7.321942806243896,5,Status.VERIFIED,-0.0133839221671223
1,0.0235294117647058,DFS:,18.116254806518555,3,Status.ADV_EXAMPLE,SA0:,9.900653600692747,3,Status.ADV_EXAMPLE,-1.3934637308120728,SA1:,10.472636699676514,3,Status.ADV_EXAMPLE,-1.3934637308120728,SA2:,10.478851556777954,3,Status.ADV_EXAMPLE,-1.3934637308120728,SA3:,10.081908464431764,3,Status.ADV_EXAMPLE,-1.3934637308120728,SA4:,10.78615689277649,3,Status.ADV_EXAMPLE,-1.3934637308120728,SA5:,10.00476884841919,3,Status.ADV_EXAMPLE,-1.3934637308120728
2,0.0117647058823529,DFS:,18.023059368133545,7,Status.VERIFIED,SA0:,9.561655044555664,7,Status.VERIFIED,-0.0952311605215072,SA1:,9.55575704574585,7,Status.VERIFIED,-0.0952311605215072,SA2:,9.449285745620728,7,Status.VERIFIED,-0.0952311605215072,SA3:,9.891968965530396,7,Status.VERIFIED,-0.0952311605215072,SA4:,9.60973834991455,7,Status.VERIFIED,-0.0952311605215072,SA5:,9.643401384353638,7,Status.VERIFIED,-0.0952311605215072
3,0.0196078431372549,DFS:,50.766934394836426,20,Status.ADV_EXAMPLE,SA0:,60.27233839035034,44,Status.ADV_EXAMPLE,-0.9123817086219788,SA1:,99.70533037185668,70,Status.ADV_EXAMPLE,-0.9123817086219788,SA2:,57.26955056190491,40,Status.ADV_EXAMPLE,-0.9123817086219788,SA3:,48.8740816116333,36,Status.ADV_EXAMPLE,-0.9123817086219788,SA4:,68.52535843849182,48,Status.ADV_EXAMPLE,-0.9123817086219788,SA5:,68.92992877960205,48,Status.ADV_EXAMPLE,-0.9123817086219788
4,0.0235294117647058,DFS:,247.8690857887268,24,Status.ADV_EXAMPLE,SA0:,200.3306949138641,34,Status.ADV_EXAMPLE,-2.5261383056640625,SA1:,350.3306016921997,58,Status.ADV_EXAMPLE,-2.5261383056640625,SA2:,310.4331085681915,52,Status.ADV_EXAMPLE,-2.5261383056640625,SA3:,101.46295499801636,18,Status.ADV_EXAMPLE,-2.5261383056640625,SA4:,139.8884310722351,24,Status.ADV_EXAMPLE,-2.5261383056640625,SA5:,93.41799688339232,16,Status.ADV_EXAMPLE,-2.5261383056640625
5,0.0156862745098039,DFS:,312.9481658935547,103,Status.VERIFIED,SA0:,180.47535490989685,103,Status.VERIFIED,-0.0558840744197368,SA1:,169.03900122642517,103,Status.VERIFIED,-0.0558840744197368,SA2:,174.79123878479004,103,Status.VERIFIED,-0.0558840744197368,SA3:,173.31032848358154,103,Status.VERIFIED,-0.0558840744197368,SA4:,171.6968080997467,103,Status.VERIFIED,-0.0558840744197368,SA5:,172.75842356681824,103,Status.VERIFIED,-0.0558840744197368
8,0.0039215686274509,DFS:,26.75689125061035,11,Status.VERIFIED,SA0:,13.498672485351562,11,Status.VERIFIED,-0.0008102894062176,SA1:,13.660345315933228,11,Status.VERIFIED,-0.0008102894062176,SA2:,13.828806400299072,11,Status.VERIFIED,-0.0008102894062176,SA3:,13.780678272247314,11,Status.VERIFIED,-0.0008102894062176,SA4:,13.99192500114441,11,Status.VERIFIED,-0.0008102894062176,SA5:,13.901056051254272,11,Status.VERIFIED,-0.0008102894062176
9,0.0156862745098039,DFS:,95.94983172416688,37,Status.VERIFIED,SA0:,50.03119468688965,37,Status.VERIFIED,-0.1980196684598922,SA1:,49.75118565559387,37,Status.VERIFIED,-0.1980196684598922,SA2:,51.16151237487793,37,Status.VERIFIED,-0.1980196684598922,SA3:,50.214109897613525,37,Status.VERIFIED,-0.1980196684598922,SA4:,49.10489273071289,37,Status.VERIFIED,-0.1980196684598922,SA5:,50.617002964019775,37,Status.VERIFIED,-0.1980196684598922
11,0.0156862745098039,DFS:,59.61850619316101,21,Status.VERIFIED,SA0:,30.457650184631348,21,Status.VERIFIED,-0.132485032081604,SA1:,30.210842847824097,21,Status.VERIFIED,-0.132485032081604,SA2:,29.980475664138797,21,Status.VERIFIED,-0.132485032081604,SA3:,30.641138792037964,21,Status.VERIFIED,-0.132485032081604,SA4:,30.59688973426819,21,Status.VERIFIED,-0.132485032081604,SA5:,29.85881876945496,21,Status.VERIFIED,-0.132485032081604
13,0.0313725490196078,DFS:,18.548904180526733,3,Status.VERIFIED,SA0:,9.504613876342772,3,Status.VERIFIED,0.3656996190547943,SA1:,8.941010475158691,3,Status.VERIFIED,0.3656996190547943,SA2:,9.074825525283812,3,Status.VERIFIED,0.3656996190547943,SA3:,8.980033159255981,3,Status.VERIFIED,0.3656996190547943,SA4:,9.251047611236572,3,Status.VERIFIED,0.3656996190547943,SA5:,9.029712915420532,3,Status.VERIFIED,0.3656996190547943
