id,eps,oliva_greedy,oliva_greedy_time,oliva_greedy_visit,oliva_greedy_status,oliva_greedy_lb,oliva_balance,oliva_balance_time,oliva_balance_visit,oliva_balance_status,oliva_balance_lb,neuralsat,neuralsat_time,neuralsat_status,bab_baseline,bab_baseline_time,bab_baseline_visit,bab_baseline_status,abcrown,abcrown_status,abcrown_time
1,0.0274509803921568,DFS:,16.854690313339233,41,Status.VERIFIED,-0.4406359493732452,Balance,16.246858547018874,41,Status.VERIFIED,-0.4406359493732452,neuralsat,16.14393448829651,Status.VERIFIED,BaB-Baseline:,19.384076833724976,41.0,Status.VERIFIED,abcrown:,Status.VERIFIED,1.8741
2,0.0156862745098039,DFS:,1.366032600402832,5,Status.VERIFIED,-0.0492402575910091,Balance,1.097100583874441,5,Status.VERIFIED,-0.0492402575910091,neuralsat,13.784271955490112,Status.VERIFIED,BaB-Baseline:,1.1206817626953125,5.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.0762
6,0.0196078431372549,DFS:,3.5079119205474854,17,Status.VERIFIED,-0.1359836310148239,Balance,3.34022461884045,17,Status.VERIFIED,-0.1359836310148239,neuralsat,14.14308738708496,Status.VERIFIED,BaB-Baseline:,3.44587516784668,17.0,Status.VERIFIED,abcrown:,Status.VERIFIED,2.1971
8,0.0117647058823529,DFS:,0.7089614868164062,3,Status.VERIFIED,0.0177191291004419,Balance,0.6994652469382582,3,Status.VERIFIED,0.0177191291004419,neuralsat,12.146770477294922,Status.VERIFIED,Baseline:,574.1148520014074,533.0,Status.VERIFIED,abcrown:,Status.VERIFIED,9.9918
9,0.0313725490196078,DFS:,72.06598496437073,151,Status.VERIFIED,-0.5010838508605957,Balance,68.7004773100189,151,Status.VERIFIED,-0.5010838508605957,neuralsat,14.366780757904053,Status.VERIFIED,Baseline:,577.9581896070413,523.5,Status.VERIFIED,abcrown:,Status.VERIFIED,14.2090
10,0.0470588235294117,DFS:,12.171199798583984,21,Status.VERIFIED,-0.2112695872783661,Balance,11.655433738319676,21,Status.VERIFIED,-0.2112695872783661,neuralsat,15.916216850280762,Status.VERIFIED,BaB-Baseline:,15.071616411209106,21.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.0863
11,0.0313725490196078,DFS:,1.7775561809539795,5,Status.VERIFIED,-0.0980742648243904,Balance,1.7108691024886076,5,Status.VERIFIED,-0.0980742648243904,neuralsat,16.050837755203247,Status.VERIFIED,BaB-Baseline:,1.885993242263794,5.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.0884
11,0.0352941176470588,DFS:,71.02668023109436,133,Status.VERIFIED,-0.493435651063919,Balance,55.19961445659892,121,Status.VERIFIED,-0.493435651063919,neuralsat,15.635417699813845,Status.VERIFIED,BaB-Baseline:,80.39275431632996,133.0,Status.VERIFIED,abcrown:,Status.VERIFIED,2.0341
14,0.0313725490196078,DFS:,7.455838441848755,27,Status.VERIFIED,-0.1242470294237136,Balance,7.2693376935738305,27,Status.VERIFIED,-0.1242470294237136,neuralsat,10.20545744895935,Status.VERIFIED,BaB-Baseline:,7.299028635025024,27.0,Status.VERIFIED,abcrown:,Status.VERIFIED,1.2301
15,0.0313725490196078,DFS:,0.9535598754882812,3,Status.VERIFIED,0.1458779275417328,Balance,0.9239857755052394,3,Status.VERIFIED,0.1458779275417328,neuralsat,6.183696985244751,Status.VERIFIED,BaB-Baseline:,1.0332815647125244,3.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.0887
15,0.0352941176470588,DFS:,11.302753210067747,31,Status.VERIFIED,-0.3455801606178283,Balance,10.986201772197452,31,Status.VERIFIED,-0.3455801606178283,neuralsat,15.491255760192871,Status.VERIFIED,BaB-Baseline:,12.258294820785522,31.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.1033
16,0.0392156862745098,DFS:,23.722402334213257,37,Status.ADV_EXAMPLE,-1.242964506149292,Balance,12.9815661395385,177,Status.ADV_EXAMPLE,-1.242964506149292,neuralsat,119.30966305732727,Status.ADV_EXAMPLE,BaB-Baseline:,200.3522299718654,419.0,Status.ADV_EXAMPLE,abcrown:,Status.UNKNOWN,83.755
20,0.0274509803921568,DFS:,56.1760847568512,113,Status.VERIFIED,-0.2910407483577728,Balance,36.46644153134332,109,Status.VERIFIED,-0.2910407483577728,neuralsat,53.7112605571746826,Status.VERIFIED,BaB-Baseline:,74.82054543495178,113.0,Status.VERIFIED,abcrown:,Status.VERIFIED,1.7721
21,0.0196078431372549,DFS:,3.079431295394897,11,Status.VERIFIED,-0.2433303892612457,Balance,3.0315264297821707,11,Status.VERIFIED,-0.2433303892612457,neuralsat,335.469977855682373,Status.VERIFIED,BaB-Baseline:,511.5729408913321,577.1,Status.VERIFIED,abcrown:,Status.VERIFIED,25.5876
22,0.0392156862745098,DFS:,3.505653381347656,7,Status.VERIFIED,-0.2003473788499832,Balance,3.3420332645406003,7,Status.VERIFIED,-0.2003473788499832,neuralsat,6.424461126327515,Status.VERIFIED,Baseline:,9.5604402833150,9.0,Status.VERIFIED,abcrown:,Status.VERIFIED,6.7904
23,0.0392156862745098,DFS:,6.403846979141235,23,Status.VERIFIED,-0.0816259831190109,Balance,6.131982872507838,23,Status.VERIFIED,-0.0816259831190109,neuralsat,9.069582462310793,Status.VERIFIED,BaB-Baseline:,29.7793316531141,23.0,Status.VERIFIED,abcrown:,Status.VERIFIED,6.7189
25,0.0470588235294117,DFS:,0.8112199306488037,3,Status.VERIFIED,0.0187538471072912,Balance,0.7802343646545775,3,Status.VERIFIED,0.0187538471072912,neuralsat,7.0233190059661865,Status.VERIFIED,BaB-Baseline:,0.8693313598632812,3.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.0988
26,0.0196078431372549,DFS:,10.411241054534912,19,Status.VERIFIED,-0.2367392182350158,Balance,10.045101374719756,19,Status.VERIFIED,-0.2367392182350158,neuralsat,6.930784225463867,Status.VERIFIED,BaB-Baseline:,1.1539506747428,2.0,Status.VERIFIED,abcrown:,Status.VERIFIED,2.1016
27,0.0235294117647058,DFS:,2.931155204772949,11,Status.VERIFIED,-0.1800255924463272,Balance,2.849807822839728,11,Status.VERIFIED,-0.1800255924463272,neuralsat,6.754632949829102,Status.VERIFIED,BaB-Baseline:,4.3521623147122,4.0,Status.VERIFIED,abcrown:,Status.VERIFIED,8.0573
27,0.0274509803921568,DFS:,40.24829316139221,123,Status.VERIFIED,-0.5144298076629639,Balance,38.85721555769452,123,Status.VERIFIED,-0.5144298076629639,neuralsat,15.91718816757202,Status.VERIFIED,BaB-Baseline:,41.79374361038208,123.0,Status.VERIFIED,abcrown:,Status.VERIFIED,82.2931
28,0.0431372549019607,DFS:,2.79540491104126,11,Status.VERIFIED,-0.0082753058522939,Balance,2.694470786182169,11,Status.VERIFIED,-0.0082753058522939,neuralsat,5.844866991043091,Status.VERIFIED,BaB-Baseline:,11.9208958570045,11.0,Status.VERIFIED,abcrown:,Status.VERIFIED,9.1515
29,0.0235294117647058,DFS:,1.1074538230895996,5,Status.VERIFIED,-0.0998118221759796,Balance,1.0627209990910855,5,Status.VERIFIED,-0.0998118221759796,neuralsat,7.317147970199585,Status.VERIFIED,BaB-Baseline:,1.1880223751068115,5.0,Status.VERIFIED,abcrown:,Status.VERIFIED,1.8196
29,0.0274509803921568,DFS:,14.646813869476318,28,Status.ADV_EXAMPLE,-0.7552617788314819,Balance,10.233613661664394,174,Status.ADV_EXAMPLE,-0.7552617788314819,neuralsat,11.848044872283936,Status.ADV_EXAMPLE,BaB-Baseline:,256.5486147403717,458.0,Status.ADV_EXAMPLE,abcrown:,Status.UNKNOWN,11.287
30,0.0392156862745098,DFS:,1003.28397011756897,517,Status.UNKNOWN,-0.772709310054779,Balance,264.96858528457705,377,Status.VERIFIED,-0.772709310054779,neuralsat,117.205064058303833,Status.VERIFIED,BaB-Baseline:,314.95582270622253,517.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.1222
32,0.0313725490196078,DFS:,3.528952121734619,9,Status.VERIFIED,-0.2738988697528839,Balance,3.4290509276458123,9,Status.VERIFIED,-0.2738988697528839,neuralsat,5.933558225631714,Status.VERIFIED,BaB-Baseline:,3.4505839347839355,9.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.1194
32,0.0392156862745098,DFS:,45.45202016830444,61,Status.ADV_EXAMPLE,-2.4104247093200684,Balance,209.0853455868892,879,Status.ADV_EXAMPLE,-2.4104247093200684,neuralsat,43.83648204803467,Status.ADV_EXAMPLE,BaB-Baseline:,1000.7646136283876,1607.0,Status.UNKNOWN,abcrown:,Status.UNKNOWN,18.0257
33,0.0313725490196078,DFS:,1.8426930904388428,7,Status.VERIFIED,-0.1320542395114898,Balance,1.799462811716506,7,Status.VERIFIED,-0.1320542395114898,neuralsat,3.731934547424317,Status.VERIFIED,BaB-Baseline:,1.5913336277008057,7.0,Status.VERIFIED,abcrown:,Status.VERIFIED,1.5298
33,0.0352941176470588,DFS:,393.3625133037567,691,Status.VERIFIED,-0.7243722677230835,Balance,303.7948758428857,299,Status.VERIFIED,-0.7243722677230835,neuralsat,154.215875625610352,Status.VERIFIED,BaB-Baseline:,421.6552712917328,691.0,Status.VERIFIED,abcrown:,Status.VERIFIED,3.7661
33,0.0431372549019607,DFS:,46.38417148590088,65,Status.ADV_EXAMPLE,-2.127163887023926,Balance,142.86696082801882,533,Status.ADV_EXAMPLE,-2.127163887023926,neuralsat,11.926541328430176,Status.ADV_EXAMPLE,BaB-Baseline:,1000.5708439350128,1714.0,Status.UNKNOWN,abcrown:,Status.UNKNOWN,63.2021
33,0.0470588235294117,DFS:,1004.3848850727081,1113,Status.UNKNOWN,-3.6868371963500977,Balance,564.0713887205217,835,Status.ADV_EXAMPLE,-3.6868371963500977,neuralsat,7.016947031021118,Status.ADV_EXAMPLE,BaB-Baseline:,1000.729408913321,1987.0,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2381
35,0.0352941176470588,DFS:,1.762028455734253,7,Status.VERIFIED,-0.0519575513899326,Balance,1.7440261272565305,7,Status.VERIFIED,-0.0519575513899326,neuralsat,16.66230320930481,Status.VERIFIED,BaB-Baseline:,8.5946605354909,7.0,Status.VERIFIED,abcrown:,Status.VERIFIED,9.1661
36,0.0196078431372549,DFS:,2.156567573547364,7,Status.VERIFIED,-0.1459249854087829,Balance,2.099603829115434,7,Status.VERIFIED,-0.1459249854087829,neuralsat,17.241636276245117,Status.VERIFIED,BaB-Baseline:,2.2982685565948486,7.0,Status.VERIFIED,abcrown:,Status.VERIFIED,1.9523
37,0.0235294117647058,DFS:,3.7224621772766113,11,Status.VERIFIED,-0.1890583336353302,Balance,3.620058031618136,11,Status.VERIFIED,-0.1890583336353302,neuralsat,16.319719552993774,Status.VERIFIED,BaB-Baseline:,3.7601356506347656,11.0,Status.VERIFIED,abcrown:,Status.VERIFIED,0.254
38,0.0117647058823529,DFS:,199.0346703529358,879,Status.VERIFIED,-0.3112356066703796,Balance,175.26260959230788,431,Status.VERIFIED,-0.3112356066703796,neuralsat,30.40868067741394,Status.VERIFIED,BaB-Baseline:,167.85389041900635,879.0,Status.VERIFIED,abcrown:,Status.VERIFIED,4.7355
